Market,Strategy,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
EU,Synthetic Pure VRP Proxy,3.0,122,2015-06-30,2026-07-31,0.2908195822216047,0.324574903045439,0.11540436339201186,0.2708423315867314,0.30819630526516706,-0.0628140731107405,True,0.25700393199027954,0.2021802157836058,0.31968665669580476,True,0.294282057121408,0.2300343244835633,0.36999326534043603,True,0.0,0.0,2570.0393199027953,2942.82057121408,0.25777015456121966,0.20356253015013312,0.3186043214464252,True,0.29505941385937917,0.22901629453584846,0.37221149216589205,True,0.0,0.0,2577.7015456121967,2950.5941385937917
EU,60/40,3.0,122,2015-06-30,2026-07-31,0.03280039761742443,0.02683995596547395,0.11243367829072275,0.013838399596451821,0.013914248143759078,-0.1108168396733621,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.0007662225709400942,-0.007833610038344685,0.009526427830204826,False,0.000777356737971191,-0.007786347712976529,0.01030810837937857,False,0.4205,0.42,7.662225709400943,7.77356737971191
EU,1/N Equity-Bond,3.0,122,2015-06-30,2026-07-31,0.02759878899420954,0.0230208871789086,0.09840938968986584,0.013072177025511727,0.013136891405787887,-0.0977640758101841,True,-0.0007662225709400942,-0.00952642783020483,0.00783361003834467,False,-0.000777356737971191,-0.010308108379378572,0.0077863477129765275,False,0.5795,0.58,-7.662225709400943,-7.77356737971191,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
EU,RSM RV + Raw VRP,3.0,122,2015-06-30,2026-07-31,0.03158501716887586,0.025548259192259115,0.11244738473362685,0.012618395668727416,0.012390738026583081,-0.1370805033268703,True,-0.001220003927724405,-0.02685425339798375,0.026648001926974422,False,-0.0015235101171759968,-0.027709921804292926,0.02682107704055387,False,0.654,0.6605,-12.20003927724405,-15.235101171759968,-0.00045378135678431075,-0.02662930865620624,0.025136732254234108,False,-0.0007461533792048058,-0.027200342014050097,0.025952783104257603,False,0.6255,0.63,-4.5378135678431075,-7.4615337920480584
EU,RSM RV + Log VRP,3.0,122,2015-06-30,2026-07-31,0.02273784207543454,0.018710552913646872,0.09182109673318331,0.010091171367507631,0.010185401905698832,-0.0760675938651776,True,-0.00374722822894419,-0.02883876119752826,0.02566223322704239,False,-0.003728846238060246,-0.029929001258011973,0.02653491068447726,False,0.6085,0.604,-37.4722822894419,-37.28846238060246,-0.0029810056580040958,-0.023581308030383316,0.021117609163298356,False,-0.002951489500089055,-0.024237876705014594,0.02166027868860234,False,0.604,0.6,-29.810056580040957,-29.51489500089055
EU,Buy-and-Hold Equity,3.0,122,2015-06-30,2026-07-31,0.05378047310816206,0.0398414567054608,0.17172261608929754,0.009547487793333644,0.009500470488688517,-0.1629649254036141,True,-0.0042909118031181775,-0.039748226957983,0.031132291616955805,False,-0.004413777655070561,-0.038404887959658546,0.03472257104967126,False,0.575,0.5765,-42.90911803118178,-44.13777655070561,-0.0035246892321780833,-0.04736434008862228,0.04027666567999791,False,-0.00363642091709937,-0.04633434195650135,0.04519393082774963,False,0.5515,0.551,-35.246892321780834,-36.3642091709937
EU,RSM RV,3.0,122,2015-06-30,2026-07-31,0.020314076485901656,0.016588036298176068,0.08804064386580371,0.008687344027443733,0.008751397239578296,-0.0761426165418579,True,-0.005151055569008089,-0.02938858444869045,0.025430405968516336,False,-0.005162850904180782,-0.03067145802120512,0.025785092027480885,False,0.613,0.608,-51.510555690080885,-51.628509041807824,-0.0043848329980679945,-0.023130489496736715,0.020160184823584632,False,-0.004385494166209591,-0.023577661914210887,0.02077226964060249,False,0.6095,0.605,-43.84832998067994,-43.85494166209591
EU,HMM RV,3.0,122,2015-06-30,2026-07-31,0.02382417343277298,0.01803281579167626,0.10936272209535183,0.005883865956615246,0.005961474310834047,-0.0788113544497624,True,-0.007954533639836576,-0.02925331863962598,0.015973861979896798,False,-0.00795277383292503,-0.029947223228894815,0.016572560093676688,False,0.719,0.716,-79.54533639836576,-79.52773832925031,-0.007188311068896482,-0.026862057779377817,0.016463117229598753,False,-0.00717541709495384,-0.027006106665119697,0.01710106037289527,False,0.6965,0.6895,-71.88311068896482,-71.7541709495384
EU,HMM RV + Log VRP,3.0,122,2015-06-30,2026-07-31,0.019103440964485477,0.013546958162249156,0.10653029704453912,0.0020803846818888633,0.002119287866835684,-0.0789139974785599,True,-0.011758014914562957,-0.03910411080150634,0.014652850452068348,False,-0.011794960276923394,-0.039262365046041636,0.014805513353821602,False,0.822,0.821,-117.58014914562958,-117.94960276923393,-0.010991792343622863,-0.03813385258493695,0.01507039718538166,False,-0.011017603538952203,-0.038108223771753574,0.01591392972987204,False,0.8055,0.8025,-109.91792343622863,-110.17603538952203
EU,RSM Returns Only,3.0,122,2015-06-30,2026-07-31,0.012042471748801985,0.008265351848603109,0.08736522558173278,0.0005934477873814001,0.0005326172328934398,-0.0751342078642919,True,-0.013244951809070421,-0.04051685224082585,0.020010278636916103,False,-0.013381630910865638,-0.042009250339045616,0.019970035637951824,False,0.7875,0.786,-132.4495180907042,-133.81630910865638,-0.012478729238130327,-0.03431265107921018,0.01444639267254988,False,-0.012604274172894447,-0.03482462179869599,0.014725824677402374,False,0.816,0.815,-124.78729238130327,-126.04274172894448
