Market,Period,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Period Obs,Period Start,Period End,Target Ann. Vol,Realized / Target Vol
US,Second Half,Direct Short Variance 10% Vol (VRP > 0),0.08604163512300289,0.15999365508724472,0.6168634073362607,0.6912081586333726,-0.3977420348062515,0.2163252248782696,-0.02898519313266025,-0.13397183179387873,0.038692083103721304,116.0,5.0,0.034699307058859645,-0.04939344787294919,-0.03943905234389727,-0.03169740661798654,116,2016-12-31,2026-07-31,116,2016-12-31,2026-07-31,0.1,1.5999365508724472
US,Second Half,Direct Short Variance 10% Vol (High VRP),0.05828034248276159,0.08319107712114482,0.7257642710898002,0.9141132896273114,-0.23464506501608828,0.24837659585453306,-0.011159719916684093,-0.06936749323513318,0.019917580245519362,116.0,5.0,0.04307522316656237,0.04090666537383125,-0.03106313623619454,-0.023321490510283815,116,2016-12-31,2026-07-31,116,2016-12-31,2026-07-31,0.1,0.8319107712114482
US,Pre-Covid,Direct Short Variance 5% Vol,0.05285916506056543,0.07930267540048531,0.6934888943470209,0.7890024293663754,-0.1907330239060543,0.27713693191694616,-0.02082095244265226,-0.07082903334549989,0.02180326901850847,153.0,5.0,0.039273238868056407,0.035262357513296205,-0.01446083118704617,-0.014591578881390677,153,2007-04-30,2019-12-31,153,2007-04-30,2019-12-31,0.05,1.5860535080097062
US,Pre-Covid,Direct Short Variance 10% Vol,0.09942428003605519,0.15860535080097063,0.6934888943470209,0.7890024293663754,-0.36304278541648605,0.273863808977762,-0.04164190488530452,-0.14165806669099978,0.04360653803701694,153.0,5.0,0.04710190610773912,-0.008028108269273693,-0.006632163947363455,-0.006762911641707961,153,2007-04-30,2019-12-31,153,2007-04-30,2019-12-31,0.1,1.5860535080097062
US,Pre-Covid,Direct Short Variance 10% Vol (VRP > 0),0.08104132480548465,0.1504890626843614,0.6091891756227409,0.6865116879139079,-0.35102196316683365,0.2308725188428376,-0.028453766405433126,-0.12669474829808905,0.03786786816079238,153.0,5.0,0.03505891306788096,-0.01818266851130146,-0.018675156987221615,-0.01880590468156612,153,2007-04-30,2019-12-31,153,2007-04-30,2019-12-31,0.1,1.504890626843614
US,Pre-Covid,Direct Short Variance 10% Vol (High VRP),0.05397869163355096,0.07188392932083586,0.7696201045951412,1.0611917331528458,-0.13602934080126727,0.39681653469460965,-0.016911538307843428,-0.05645099286244732,0.019729233100366665,153.0,5.0,0.042405068966104124,0.041962046270073605,-0.011329001088998453,-0.011459748783342959,153,2007-04-30,2019-12-31,153,2007-04-30,2019-12-31,0.1,0.7188392932083585
US,Covid and After,Direct Short Variance 5% Vol,0.05389333176985689,0.09042096704866394,0.6316066248255685,0.704750648251957,-0.19994474205385526,0.2695411302955928,-0.01291340891095247,-0.07262452700237085,0.02550316297111412,79.0,5.0,0.036670603606031665,0.028235802030982082,-0.027767929423040627,-0.01992424223457752,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.05,1.8084193409732787
US,Covid and After,Direct Short Variance 10% Vol,0.09765063015011921,0.18084193409732788,0.6316066248255685,0.704750648251957,-0.3977420348062515,0.24551247191584086,-0.02582681782190494,-0.1452490540047417,0.05100632594222824,79.0,5.0,0.032461450801985474,-0.08551444910028827,-0.03197708222708682,-0.02413339503862371,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.1,1.8084193409732787
US,Covid and After,Direct Short Variance 10% Vol (VRP > 0),0.08329512206844325,0.17975073904261854,0.5604825115077061,0.6226183971688598,-0.3977420348062515,0.20941996263738646,-0.02582681782190494,-0.1452490540047417,0.043712614487140845,79.0,5.0,0.019971325198054245,-0.09606839005897094,-0.04446720783101805,-0.03662352064255494,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.1,1.7975073904261853
US,Covid and After,Direct Short Variance 10% Vol (High VRP),0.07866511449118474,0.07171167450509251,1.0961461707532298,1.5261925022520573,-0.15372709750660662,0.5117192464250098,-0.003928093541320867,-0.044024548523912035,0.020913421331682662,79.0,5.0,0.06575006675624834,0.06577513673534363,0.0013115337271760452,0.009155220915639153,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.1,0.717116745050925
EU,Full Sample,Direct Short Variance 5% Vol,0.0678122136100443,0.056855719238036985,1.1859715834566142,1.6062059908596817,-0.10996122393466923,0.6166920591056104,-0.024743440500115767,-0.045649768651575384,0.027006551171736306,170.0,5.0,0.05934783534811319,0.060419028935721375,0.0471451430524092,0.04436786634099272,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.05,1.1371143847607397
