Market,Scenario,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Excluded Obs,Retained Obs,Target Ann. Vol,Realized / Target Vol
EU,Exclude Global Financial Crisis,Direct Short Variance 10% Vol,0.135973043259211,0.11371143847607397,1.1859715834566142,1.6062059908596817,-0.21360736588724494,0.6365559665717985,-0.04948688100023153,-0.09129953730315077,0.05401310234347261,170.0,5.0,0.10253280664585392,0.10191254887151358,0.09033011435014993,0.08755283763873345,170,2011-06-30,2026-07-31,0,170,0.1,1.1371143847607397
EU,Exclude Global Financial Crisis,Direct Short Variance 10% Vol (VRP > 0),0.13078430819374431,0.0969590268794511,1.3239358698465213,1.8912768988553412,-0.21360736588724505,0.6122649734034932,-0.036603067304811145,-0.07342976626315853,0.043876925419398465,170.0,5.0,0.10486490135759305,0.10672871500020986,0.09266220906188906,0.08988493235047257,170,2011-06-30,2026-07-31,0,170,0.1,0.9695902687945109
EU,Exclude Global Financial Crisis,Direct Short Variance 10% Vol (High VRP),0.06433288685606153,0.07644154643360092,0.8573140767359271,1.1709002548109357,-0.16942066701027925,0.37972278111830515,-0.013106418424765898,-0.05319161793953022,0.023289544125737277,170.0,5.0,0.050926138752088165,0.049832432919883596,0.038723446456384175,0.03594616974496769,170,2011-06-30,2026-07-31,0,170,0.1,0.7644154643360092
EU,Exclude Euro Sovereign Crisis,Direct Short Variance 5% Vol,0.07567670806634719,0.05655921488707664,1.3223980698077653,1.7990218128930993,-0.10996122393466923,0.6882126749635731,-0.021361466946928708,-0.04644121649330152,0.027390953753710444,157.0,5.0,0.0667964346249065,0.06827239251672301,0.04365456880799452,0.043625616321932695,157,2011-06-30,2026-07-31,13,157,0.05,1.1311842977415327
EU,Exclude Euro Sovereign Crisis,Direct Short Variance 10% Vol,0.15270416368666373,0.11311842977415328,1.3223980698077653,1.7990218128930993,-0.21360736588724483,0.7148824810061579,-0.042722933893857416,-0.09288243298660304,0.05478190750742089,157.0,5.0,0.11759814530660045,0.11813233384741784,0.09445627948968847,0.09442732700362665,157,2011-06-30,2026-07-31,13,157,0.1,1.1311842977415327
EU,Exclude Euro Sovereign Crisis,Direct Short Variance 10% Vol (VRP > 0),0.14124437729269101,0.09814097289224638,1.4040723083030522,2.006506240111513,-0.21360736588724505,0.6612336456938868,-0.03520103672990951,-0.07576162610398823,0.04576440869130699,157.0,5.0,0.11371789594733209,0.11621892885113039,0.09057603013042011,0.09054707764435828,157,2011-06-30,2026-07-31,13,157,0.1,0.9814097289224638
EU,Exclude Euro Sovereign Crisis,Direct Short Variance 10% Vol (High VRP),0.06487879302586452,0.0790622732879396,0.8380921667299203,1.1377240169171627,-0.16942066701027914,0.38294497460530114,-0.014738317517327095,-0.05813521745484434,0.02437294580389399,157.0,5.0,0.050634364282840294,0.049337055182858025,0.027492498465928314,0.02746354597986649,157,2011-06-30,2026-07-31,13,157,0.1,0.790622732879396
EU,Exclude Volmageddon,Direct Short Variance 5% Vol,0.06893872136121271,0.05704937636295972,1.2007288882919,1.6250817629891454,-0.10996122393466923,0.6269366499791869,-0.02533099678192571,-0.045649768651575384,0.027066515913958415,168.0,5.0,0.060364255899536264,0.06148272143434563,0.04513848753500516,0.04297427635338244,168,2011-06-30,2026-07-31,2,168,0.05,1.1409875272591943
EU,Exclude Volmageddon,Direct Short Variance 10% Vol,0.13833080952554733,0.11409875272591943,1.2007288882919,1.6250817629891454,-0.21360736588724494,0.6475938175210999,-0.05066199356385142,-0.09129953730315077,0.05413303182791683,168.0,5.0,0.10445535508205939,0.10392476256792049,0.08922958671752829,0.08706537553590557,168,2011-06-30,2026-07-31,2,168,0.1,1.1409875272591943
EU,Exclude Volmageddon,Direct Short Variance 10% Vol (VRP > 0),0.13400278706027025,0.09716392837798864,1.3509278231446882,1.927911664496952,-0.21360736588724494,0.6273322387721645,-0.037003647469068764,-0.07342976626315853,0.044137747446845746,168.0,5.0,0.10765938180725534,0.10973423245296487,0.09243361344272424,0.09026940226110153,168,2011-06-30,2026-07-31,2,168,0.1,0.9716392837798863
