date,signal_date,strategy,model,features,feature_count,stress_probability,predicted_stress,actual_stress,train_stress_rate,return_threshold,rv_threshold,equity_weight,bond_weight,turnover,gross_return,net_return,next_equity_return,next_realized_variance,train_obs,fit_status,error_message
2013-08-31,2013-07-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.08338952668624897,0,0,0.3055555555555556,-0.03424248759524367,0.06977431435421386,0.7499662839882506,0.2500337160117494,0.3209147043090246,-0.024559202054007075,-0.024880116758316098,-0.0299920451157992,0.0097758966126948,72,fitted,
2013-09-30,2013-08-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.20161976096225073,0,0,0.3055555555555556,-0.03507238154346391,0.06977431435421386,0.6790281434226495,0.3209718565773505,0.1418762811312022,0.02508572847123463,0.02494385219010343,0.0316465616335366,0.0072570980514356,72,fitted,
2013-10-31,2013-09-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.1319314890426696,0,0,0.3055555555555556,-0.03507238154346391,0.06977431435421386,0.7208411065743984,0.27915889342560163,0.08362592630349774,0.0357039220716534,0.0356202961453499,0.0463062010108756,0.0162586541179686,72,fitted,
2013-11-30,2013-10-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.1484384836530156,0,0,0.3055555555555556,-0.03507238154346391,0.06977431435421386,0.7109369098081907,0.2890630901918093,0.01980839353241537,0.020346235899978304,0.02032642750644589,0.0296382009223603,0.0076676402226258,72,fitted,
2013-12-31,2013-11-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.13550019888655748,0,0,0.3055555555555556,-0.029162151167578955,0.06883783694844543,0.7186998806680654,0.28130011933193455,0.015525941719749525,0.0170671116738249,0.017051585732105152,0.0259262463698537,0.0093337447007758,72,fitted,
2014-01-31,2013-12-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.15286151911946863,0,1,0.3055555555555556,-0.029162151167578955,0.06883783694844543,0.7082830885283189,0.2917169114716811,0.02083358427949311,-0.020470806202185374,-0.020491639786464868,-0.035248510781063,0.0159872280500098,72,fitted,
2014-02-28,2014-01-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2800514764106233,0,0,0.3055555555555556,-0.029162151167578955,0.06883783694844543,0.6319691141536261,0.3680308858463739,0.15262794874938557,0.030149907163345258,0.02999727921459587,0.0455158663927885,0.0163493295969697,72,fitted,
2014-03-31,2014-02-28,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.23172770772256876,0,0,0.3055555555555556,-0.027994505922220927,0.06883783694844543,0.6609633753664588,0.33903662463354123,0.05798852242566532,0.004981005930980734,0.004923017408555068,0.0082954994542154,0.009683363565597,72,fitted,
2014-04-30,2014-03-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.1878763820687662,0,0,0.2916666666666667,-0.027994505922220927,0.06043256133499791,0.6872741707587403,0.3127258292412597,0.05262159078456308,0.0073473887225173114,0.007294767131732749,0.0069518475292078,0.0162621120321702,72,fitted,
2014-05-31,2014-04-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.21638569697273793,0,0,0.2916666666666667,-0.027994505922220927,0.06043256133499791,0.6701685818163573,0.3298314181836427,0.03421117788476602,0.019440754765328652,0.019406543587443887,0.0232060193655998,0.0064799496520708,72,fitted,
