Market,Dimension,Parameter Label,Parameter Value,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Common Obs,Common Start,Common End,Target Ann. Vol,Realized / Target Vol
US,Transaction Costs,25 bps,25.0,Direct Short Variance 10% Vol (VRP > 0),0.08103376348772251,0.160665876597413,0.5853616258997603,0.6537443735427853,-0.39796786666628203,0.20361886040330432,-0.027247782494567434,-0.13297577757513798,0.039858105056402415,232.0,5.0,0.029513828994634058,-0.0464430746959289,-0.027963162813099126,-0.025367720277270068,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6066587659741298
US,Transaction Costs,25 bps,25.0,Direct Short Variance 10% Vol (High VRP),0.061940494144526737,0.07170061127153811,0.877108983002543,1.210212199143333,-0.23526866844023098,0.26327557577120586,-0.01227446978938842,-0.05271355782195363,0.020132469610168235,232.0,5.0,0.050036806091258934,0.04962241826475733,-0.00744018571647425,-0.004844743180645192,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,0.7170061127153811
US,Transaction Costs,50 bps,50.0,Direct Short Variance 5% Vol,0.052049733626185146,0.08306267162116868,0.6574394001774309,0.7394365782477533,-0.2002840524468521,0.2598795709907917,-0.016257145172919665,-0.07183909410660515,0.02306314670064574,232.0,5.0,0.037360154465640796,0.03170864412598928,-0.020116837342092388,-0.01752139480626333,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6612534324233734
US,Transaction Costs,50 bps,50.0,Direct Short Variance 10% Vol,0.09639805717168315,0.16612534324233735,0.6574394001774309,0.7394365782477533,-0.3983441640115084,0.24199691091469874,-0.03251429034583933,-0.1436781882132103,0.04612629340129148,232.0,5.0,0.0402232718470511,-0.03771106087695297,-0.017253719960682083,-0.014658277424853025,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6612534324233734
US,Transaction Costs,50 bps,50.0,Direct Short Variance 10% Vol (VRP > 0),0.07974402292411198,0.16066668494461372,0.5779162969098943,0.644925582313849,-0.3983441640115084,0.2001887566797844,-0.027403816757893554,-0.13313621208874588,0.039858105056402415,232.0,5.0,0.028317436472250414,-0.04772276034815903,-0.02915955533548277,-0.026564112799653712,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6066668494461371
US,Transaction Costs,50 bps,50.0,Direct Short Variance 10% Vol (High VRP),0.0613069721555386,0.07163384163719508,0.8694951257841446,1.1968437208254195,-0.2363069508741764,0.2594378706540122,-0.012386092269876537,-0.05284212095320998,0.020132469610168235,232.0,5.0,0.04945675797547758,0.04900915565046304,-0.008020233832255606,-0.005424791296426548,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,0.7163384163719507
EU,Transaction Costs,0 bps,0.0,Direct Short Variance 5% Vol,0.06815647862365015,0.056856014613025654,1.1916654103968451,1.6152432356008464,-0.10987597689901873,0.6203037328741041,-0.024718446322907824,-0.045617626825906026,0.027006551171736306,170.0,5.0,0.05967182999316878,0.0607614867516415,0.04746913769746479,0.044691860986048305,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.05,1.137120292260513
EU,Transaction Costs,0 bps,0.0,Direct Short Variance 10% Vol,0.1367022528835784,0.11371202922605131,1.1916654103968451,1.6152432356008464,-0.21345028683278322,0.6404407082885338,-0.04943689264581565,-0.09123525365181205,0.05401310234347261,170.0,5.0,0.10318062799795463,0.10262571364569806,0.09097793570225064,0.08820065899083415,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,1.137120292260513
EU,Transaction Costs,0 bps,0.0,Direct Short Variance 10% Vol (VRP > 0),0.13137284658250037,0.09697187373307971,1.329190122188821,1.9007246714646227,-0.2134502868327831,0.6154728041448725,-0.03653176552690616,-0.07336459202561463,0.043876925419398465,170.0,5.0,0.10538519595789025,0.10730488905223523,0.09318250366218626,0.09040522695076977,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.969718737330797
EU,Transaction Costs,0 bps,0.0,Direct Short Variance 10% Vol (High VRP),0.06462740189934268,0.07646342547545629,0.8607237764363994,1.1767625874311245,-0.16918431904427744,0.3819940421454128,-0.01305442834774282,-0.05313574914464442,0.023289544125737277,170.0,5.0,0.051197249745896296,0.050120601560059264,0.038994557450192306,0.03621728073877582,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.7646342547545628
EU,Transaction Costs,10 bps,10.0,Direct Short Variance 5% Vol,0.0678122136100443,0.056855719238036985,1.1859715834566142,1.6062059908596817,-0.10996122393466923,0.6166920591056104,-0.024743440500115767,-0.045649768651575384,0.027006551171736306,170.0,5.0,0.05934783534811319,0.060419028935721375,0.0471451430524092,0.04436786634099272,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.05,1.1371143847607397
EU,Transaction Costs,10 bps,10.0,Direct Short Variance 10% Vol,0.135973043259211,0.11371143847607397,1.1859715834566142,1.6062059908596817,-0.21360736588724494,0.6365559665717985,-0.04948688100023153,-0.09129953730315077,0.05401310234347261,170.0,5.0,0.10253280664585392,0.10191254887151358,0.09033011435014993,0.08755283763873345,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,1.1371143847607397
EU,Transaction Costs,10 bps,10.0,Direct Short Variance 10% Vol (VRP > 0),0.13078430819374431,0.0969590268794511,1.3239358698465213,1.8912768988553412,-0.21360736588724505,0.6122649734034932,-0.036603067304811145,-0.07342976626315853,0.043876925419398465,170.0,5.0,0.10486490135759305,0.10672871500020986,0.09266220906188906,0.08988493235047257,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.9695902687945109
EU,Transaction Costs,10 bps,10.0,Direct Short Variance 10% Vol (High VRP),0.06433288685606153,0.07644154643360092,0.8573140767359271,1.1709002548109357,-0.16942066701027925,0.37972278111830515,-0.013106418424765898,-0.05319161793953022,0.023289544125737277,170.0,5.0,0.050926138752088165,0.049832432919883596,0.038723446456384175,0.03594616974496769,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.7644154643360092
EU,Transaction Costs,25 bps,25.0,Direct Short Variance 5% Vol,0.06729600576188766,0.056855293406305775,1.1774303752829378,1.5926758809229489,-0.1100890842984269,0.6112868154981036,-0.024780931765927678,-0.04569798139007941,0.027006551171736306,170.0,5.0,0.058861838481415366,0.05990552711018271,0.046659146185711375,0.04388186947429489,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.05,1.1371058681261155
EU,Transaction Costs,25 bps,25.0,Direct Short Variance 10% Vol,0.1348800283904137,0.11371058681261155,1.1774303752829378,1.5926758809229489,-0.21384294533621628,0.630743409273322,-0.049561863531855356,-0.09139596278015882,0.05401310234347261,170.0,5.0,0.10156105502124516,0.10084357209359607,0.08935836272554117,0.08658108601412468,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,1.1371058681261155
EU,Transaction Costs,25 bps,25.0,Direct Short Variance 10% Vol (VRP > 0),0.12990201166965787,0.09693989451374306,1.3160500078270938,1.877134145855055,-0.2138429453362164,0.6074645645448734,-0.036710019971668624,-0.07352752761947443,0.043876925419398465,170.0,5.0,0.10408439106273012,0.1058648919140599,0.09188169876702613,0.08910442205560964,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.9693989451374305
EU,Transaction Costs,25 bps,25.0,Direct Short Variance 10% Vol (High VRP),0.063891237253902,0.07640893014212188,0.8521936099564598,1.162121694310299,-0.16977508843121447,0.37632869371049077,-0.013184403540300513,-0.053275421131858916,0.023289544125737277,170.0,5.0,0.05051939049706665,0.04940022944396172,0.03831669820136266,0.035539421489946176,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.7640893014212188
EU,Transaction Costs,50 bps,50.0,Direct Short Variance 5% Vol,0.06643616491694448,0.05685462963655845,1.1631938039137537,1.5701942631696326,-0.11030215773354968,0.6023106554037715,-0.02484341720894754,-0.04577833595425281,0.027006551171736306,170.0,5.0,0.058051830639280495,0.05905018358651892,0.045849138343576505,0.04307186163216002,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.05,1.1370925927311688
EU,Transaction Costs,50 bps,50.0,Direct Short Variance 10% Vol,0.13306046724390552,0.1137092592731169,1.1631938039137537,1.5701942631696326,-0.2142354734087779,0.6210944673481587,-0.04968683441789508,-0.09155667190850562,0.05401310234347261,170.0,5.0,0.09994141672300982,0.09906399673775845,0.08773872442730583,0.08496144771588934,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,1.1370925927311688
EU,Transaction Costs,50 bps,50.0,Direct Short Variance 10% Vol (VRP > 0),0.12843287936250958,0.09690837525169381,1.3028950371219887,1.8536398320969547,-0.2142354734087778,0.5994939928433315,-0.036888274416431104,-0.07369046321333422,0.043876925419398465,170.0,5.0,0.10278335818617947,0.10442635422875002,0.09058066589047548,0.087803389179059,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.969083752516938
EU,Transaction Costs,50 bps,50.0,Direct Short Variance 10% Vol (High VRP),0.06315548239133717,0.07635510981306873,0.8436438091000995,1.1475305470623827,-0.170365522800362,0.37070577047061415,-0.013314378732858206,-0.05341509311907341,0.023289544125737277,170.0,5.0,0.04984125870053924,0.04868002236696767,0.03763856640483525,0.034861289693418764,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.7635510981306872
