date,signal_date,strategy,model,features,feature_count,stress_probability,predicted_stress,actual_stress,train_stress_rate,return_threshold,rv_threshold,equity_weight,bond_weight,turnover,gross_return,net_return,next_equity_return,next_realized_variance,train_obs,fit_status,error_message
2021-10-31,2021-09-30,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.49301541046773845,0,0,0.3055555555555556,-0.03645172608662994,0.057011352641784446,0.504190753719357,0.49580924628064305,0.2652738397471388,0.022127032137460846,0.021861758297713706,0.0500187685423789,0.0202565499601923,72,fitted,
2021-11-30,2021-10-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.420763716418837,0,1,0.3055555555555556,-0.03645172608662994,0.05251450827367629,0.5475417701486979,0.45245822985130213,0.08670203285868183,-0.01904942750159671,-0.01913612953445539,-0.0441118340678221,0.0349685774107394,72,fitted,
2021-12-31,2021-11-30,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.5683556702877134,1,0,0.3055555555555556,-0.03743169996304346,0.05251450827367629,0.458986597827372,0.541013402172628,0.1771103446426518,0.022054765745422436,0.021877655400779784,0.0598095430834235,0.0440059328484246,72,fitted,
2022-01-31,2021-12-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.5873525236715422,1,0,0.3055555555555556,-0.03743169996304346,0.049916467923810895,0.44758848579707466,0.5524115142029253,0.022796224060594616,-0.021104434307212087,-0.021127230531272682,-0.0305312574875287,0.046658579463676,72,fitted,
2022-02-28,2022-01-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.7220226863390603,1,1,0.3055555555555556,-0.03743169996304346,0.04693824538949104,0.36678638819656384,0.6332136118034362,0.16160419520102165,-0.03669757651043073,-0.03685918070563175,-0.0599746350142773,0.0668540407738242,72,fitted,
2022-03-31,2022-02-28,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.831746283546616,1,1,0.2916666666666667,-0.040339271313196576,0.049916467923810895,0.30095222987203046,0.6990477701279696,0.1316683166490668,-0.015567496290003707,-0.015699164606652775,-0.0055322855810063,0.1532436123162141,72,fitted,
2022-04-30,2022-03-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.8408121334691889,1,0,0.2916666666666667,-0.040339271313196576,0.05251450827367629,0.29551271991848665,0.7044872800815134,0.010879019907087617,-0.03192516811576599,-0.03193604713567308,-0.0255373224507752,0.0361521317145649,72,fitted,
2022-05-31,2022-04-30,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.6804647342328455,1,1,0.2916666666666667,-0.040339271313196576,0.05251450827367629,0.39172115946029273,0.6082788405397073,0.1924168790836122,-0.010743007981087838,-0.01093542486017145,-0.0035894421826705,0.0708539422116861,72,fitted,
2022-06-30,2022-05-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.6448340781305922,1,1,0.2916666666666667,-0.040339271313196576,0.06091085120872222,0.41309955312164465,0.5869004468783554,0.04275678732270377,-0.05048655151434133,-0.050529308301664036,-0.0882373521030496,0.0612605350089135,72,fitted,
2022-07-31,2022-06-30,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.7470903406233352,1,0,0.2916666666666667,-0.04281126355819841,0.059604877853698536,0.35174579562599884,0.6482542043740012,0.12270751499129157,0.053054752136156735,0.05293204462116544,0.0732996365584686,0.043328562736448,72,fitted,
