Market,Strategy,Model Group,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
EU,ML Gradient Boosting + VRP,Machine Learning,1.0,127,2015-09-30,2026-07-31,0.03368335306755564,0.029386934846727053,0.09605093384034932,0.029070462121754057,0.029386934846727053,-0.1447835395736022,True,-0.016774087315410788,-0.03727447598948297,-7.931710218619946e-05,False,-0.017188007370783076,-0.039058404266603605,0.0002235526240753177,False,0.976,0.971,-167.74087315410787,-171.88007370783077,-0.010420055334998804,-0.025615962566931834,0.003314369662218331,False,-0.010697394323526455,-0.02677499099681921,0.0035237054520226877,False,0.934,0.932,-104.20055334998804,-106.97394323526454
EU,ML Gradient Boosting Base,Machine Learning,1.0,127,2015-09-30,2026-07-31,0.030330634913030563,0.025566256421355682,0.09917737733556985,0.025412558825449565,0.02556625642135546,-0.1694959613633467,True,-0.02043199061171528,-0.041683000998057114,-0.005497046632514374,False,-0.02100868579615467,-0.043674636633896625,-0.005482031457393941,False,0.996,0.9955,-204.31990611715278,-210.08685796154668,-0.014077958631303296,-0.03202255713411909,-0.0008472906628000374,False,-0.014518072748898048,-0.03312591622460555,-0.0008912132898782677,False,0.9805,0.9805,-140.77958631303295,-145.18072748898047
EU,RSM RV + Raw VRP,RSM,1.0,127,2015-09-30,2026-07-31,0.026835911478866596,0.01928000762531279,0.12019910461074874,0.019611999104253736,0.01928000762531301,-0.2417441862111611,True,-0.02623255033291111,-0.05816281377749273,-0.001983991782059478,False,-0.027294934592197118,-0.05845349888863187,-0.0022169290119320893,False,0.9825,0.9825,-262.3255033291111,-272.9493459219712,-0.019878518352499125,-0.055072814399586424,0.008834506984438937,False,-0.020804321544940496,-0.05588552784044588,0.009294182332556772,False,0.899,0.9005,-198.78518352499125,-208.04321544940495
EU,HMM RV,HMM,1.0,127,2015-09-30,2026-07-31,0.01794383361330729,0.009633792334591273,0.12328945624404268,0.01034368860283143,0.009633792334592384,-0.2722396577881544,True,-0.03550086083433342,-0.07990625026024752,-0.008495115250170047,False,-0.036941149882917745,-0.0817091634832079,-0.00908072629178091,False,0.9935,0.9935,-355.0086083433342,-369.41149882917745,-0.02914682885392143,-0.0759749583677092,7.307281379152708e-05,False,-0.030450536835661124,-0.07705119842859304,9.117252566518429e-05,False,0.974,0.974,-291.4682885392143,-304.50536835661126
EU,HMM RV + Log VRP,HMM,1.0,127,2015-09-30,2026-07-31,0.015767317400836377,0.007459785421079612,0.12311239830449812,0.008188986092693683,0.007459785421080056,-0.2722430097675262,True,-0.03765556334447116,-0.08279862805690132,-0.009349239808015282,False,-0.03911515679643007,-0.08328038394983178,-0.009915852212086653,False,0.9975,0.9975,-376.55563344471165,-391.15156796430074,-0.03130153136405918,-0.07939073560866722,-0.0016486895717892857,False,-0.03262454374917345,-0.07970892439794622,-0.0017566265703342914,False,0.9815,0.9815,-313.0153136405918,-326.2454374917345
EU,Buy-and-Hold Equity,Benchmark,3.0,127,2015-09-30,2026-07-31,0.08493878995721423,0.06878760083265467,0.1834815858759378,0.03444055142389052,0.022931018685385496,-0.3396611105639215,True,0.0015994374194409702,-0.04452924400947871,0.04604001115502851,False,-0.008449686049232685,-0.06964856041617692,0.05152061418232902,False,0.432,0.547,15.994374194409703,-84.49686049232685,0.004449845524457166,-0.05140107213446356,0.05905228202728435,False,-0.006421760169953439,-0.07890240041040571,0.06553485481192818,False,0.3915,0.5195,44.49845524457166,-64.21760169953438
EU,60/40,Benchmark,3.0,127,2015-09-30,2026-07-31,0.05234626715352249,0.04657494221751057,0.11403260688380007,0.03284111400444955,0.03138070473461818,-0.2050293565963359,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.002850408105016196,-0.007153391408232491,0.012987070001446008,False,0.0020279258792792465,-0.009366069540470279,0.013988590183549532,False,0.246,0.3195,28.504081050161957,20.279258792792465
EU,1/N Equity-Bond,Benchmark,3.0,127,2015-09-30,2026-07-31,0.044240423235412614,0.0400843291702524,0.09746697675274178,0.029990705899433354,0.029352778855338935,-0.1713204064891022,True,-0.002850408105016196,-0.012987070001446012,0.007153391408232491,False,-0.0020279258792792465,-0.013988590183549542,0.009366069540470277,False,0.754,0.6805,-28.504081050161957,-20.279258792792465,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
EU,ML Logistic Base,Machine Learning,3.0,127,2015-09-30,2026-07-31,0.041714808523471224,0.037687646055751145,0.09529547187309811,0.028092968084196576,0.027442237703841244,-0.1679538332291395,True,-0.004748145920252973,-0.02014314850237059,0.008479208647296461,False,-0.003938467030776938,-0.021002269127626576,0.010368544061226505,False,0.795,0.7505,-47.481459202529734,-39.384670307769376,-0.0018977378152367774,-0.010377513594088094,0.00516343249828007,False,-0.001910541151497691,-0.01075410070529934,0.005429187103937221,False,0.7465,0.744,-18.977378152367773,-19.10541151497691
EU,ML Logistic + VRP,Machine Learning,3.0,127,2015-09-30,2026-07-31,0.03791646565217735,0.0339554381894005,0.09356774081075912,0.024784082471533245,0.024218794530349808,-0.1589898345978767,True,-0.008057031532916304,-0.024953172382284974,0.004821997005719634,False,-0.0071619102042683735,-0.025749040643558308,0.006757370177456879,False,0.8955,0.852,-80.57031532916304,-71.61910204268374,-0.005206623427900108,-0.01962913831660136,0.004144292636525569,False,-0.005133984324989127,-0.019332866946392333,0.004427087692460089,False,0.855,0.851,-52.06623427900108,-51.339843249891274
